1,2,2
1,3,2
1,4,2
1,5,2
2,5,2
3,4,2
3,5,2
6,7,2
6,8,2
6,9,2
6,10,2
7,10,2
8,9,2
8,10,2
10,11,2
10,12,2
12,13,2
1,2,3
1,3,3
1,4,3
1,5,3
2,5,3
3,4,3
3,5,3
6,7,3
6,8,3
6,9,3
6,10,3
7,10,3
8,9,3
8,10,3
10,11,3
10,12,3
12,13,3
1,2,4
1,3,4
1,4,4
1,5,4
2,5,4
3,4,4
3,5,4
6,7,4
6,8,4
6,9,4
6,10,4
7,10,4
8,9,4
8,10,4
10,11,4
10,12,4
12,13,4
1,2,5
1,3,5
1,4,5
1,5,5
2,5,5
3,4,5
3,5,5
6,7,5
6,8,5
6,9,5
6,10,5
7,10,5
8,9,5
8,10,5
10,11,5
10,12,5
12,13,5
1,2,6
1,3,6
1,4,6
1,5,6
2,5,6
3,4,6
3,5,6
6,7,6
6,8,6
6,9,6
6,10,6
7,10,6
8,9,6
8,10,6
10,11,6
10,12,6
12,13,6
1,2,7
1,3,7
1,4,7
1,5,7
2,5,7
3,4,7
3,5,7
6,7,7
6,8,7
6,9,7
6,10,7
7,10,7
8,9,7
8,10,7
10,11,7
10,12,7
12,13,7
1,2,1
1,3,1
1,4,1
1,5,1
2,5,1
3,4,1
3,5,1
6,7,1
6,8,1
6,9,1
6,10,1
7,10,1
8,9,1
8,10,1
10,11,1
10,12,1
12,13,1
9,10,1
9,10,2
9,10,3
9,10,4
9,10,5
9,10,6
9,10,7
4,5,1
4,5,2
4,5,3
4,5,4
4,5,5
4,5,6
4,5,7
