AC499,KLTN ngành Kế toán,KLTNKETOAN.1,1,1-1,BOMON,6,Bộ môn Kinh tế(CQ)
MK334,E – Marketing,EMARKETING.1,3,6-10,A507,3,Nguyễn Tường Minh(CQM016)
PG106,GDTC: Bóng bàn cơ bản,GDTC:BONGBANCB.1,3,1-2,NHATC,1,Vũ Công Hoan(CGP001)
PG106,GDTC: Bóng bàn cơ bản,GDTC:BONGBANCB.2,3,3-4,NHATC,1,Vũ Công Hoan(CGP001)
PG115,GDTC: Bóng chuyền cơ bản,GDTC:BONGCHUYENCB.1,2,1-2,NHATC,1,Bùi Văn Phương(CGP002)
PG115,GDTC: Bóng chuyền cơ bản,GDTC:BONGCHUYENCB.2,2,3-4,NHATC,1,Bùi Văn Phương(CGP002)
PG113,GDTC: Bóng rổ cơ bản,GDTC:BONGROCB.1,4,6-7,NHATC,1,Nguyễn Hữu Lăng(CGP007)
PG113,GDTC: Bóng rổ cơ bản,GDTC:BONGROCB.2,4,8-9,NHATC,1,Nguyễn Hữu Lăng(CGP007)
PG102,GDTC: Thể dục cổ truyền cơ bản,GDTC:COTRUYENCB.1,2,6-7,NHATC,1,Nguyễn Ngọc Dũng(CGP004)
PG102,GDTC: Thể dục cổ truyền cơ bản,GDTC:COTRUYENCB.2,2,8-9,NHATC,1,Nguyễn Ngọc Dũng(CGP004)
BA328,Hành vi tổ chức,HANHVITC.1,3,1-5,B709,3,Nguyễn Duy Thành(CQM015)
AD213,Hát – Nhạc,HATNHAC.2,2,3-5,B816,3,Hoàng Bích Hà(CAN003)
AD213,Hát – Nhạc,HATNHAC.1,2,3-5,B814,3,Nguyễn Văn Quang(MAN012)
AD213,Hát – Nhạc,HATNHAC.3,3,3-5,B816,3,Trần Tuấn Hòa(CAN010)
AD213,Hát – Nhạc,HATNHAC.2,4,6-7,B816,3,Hoàng Bích Hà(CAN003)
AD213,Hát – Nhạc,HATNHAC.1,4,6-7,B814,3,Nguyễn Văn Quang(MAN012)
AD213,Hát – Nhạc,HATNHAC.3,5,6-7,B816,3,Trần Tuấn Hòa(CAN010)
AC315,Kế toán công,KETOANCONG.1,7,6-8,B201,2,Vũ Thị Kim Lan(CQA005)
AC335,Kế toán công ty,KETOANCTY.1,3,8-10,B302,2,Nguyễn Thị Hồng Anh(CQA010)
AC335,Kế toán công ty,KETOANCTY.2,6,8-10,B304,2,Nguyễn Thị Hồng Anh(CQA010)
AC210,Kế toán doanh nghiệp,KETOANDN.2,3,3-5,A503,3,Nguyễn Thị Hồng Anh(CQA010)
AC210,Kế toán doanh nghiệp,KETOANDN.1,4,1-5,B201,3,Nguyễn Thanh Huyền(CQA002)
AC210,Kế toán doanh nghiệp,KETOANDN.2,6,6-7,A503,3,Nguyễn Thị Hồng Anh(CQA010)
AC314,Kế toán máy,KETOANMAY.1,5,6-10,A706A,2,Mai Thanh Thủy(CQA006)
AC314,Kế toán máy,KETOANMAY.2,7,1-5,Afinance,2,Mai Thanh Thủy(CQA006)
AC231,Kế toán Mỹ 1,KETOANMY1.1,2,4-5,B103,3,Nguyễn Thu Hoài(CQA007)
AC231,Kế toán Mỹ 1,KETOANMY1.1,4,3-5,A507,3,Nguyễn Thu Hoài(CQA007)
AC333,Kế toán Mỹ 2,KETOANMY2.1,2,6-10,B103,3,Nguyễn Thu Hoài(CQA007)
AC341,Kế toán quản trị,KETOANQTRI.1,2,1-5,B304,3,Nguyễn Thanh Huyền(CQA002)
AC341,Kế toán quản trị,KETOANQTRI.2,6,1-5,B312,3,Nguyễn Thanh Huyền(CQA002)
AC212,Kế toán tài chính 2,KETOANTC2.1,5,1-5,B306,3,Đào Diệu Hằng(CQA003)
AC316,Kế toán tài chính 3,KETOANTC3.1,6,6-10,A406,3,Vũ Thị Kim Lan(CQA005)
AC363,Kiểm toán báo cáo tài chính,KIEMTOANBCTC.1,3,8-10,B203,2,Đào Diệu Hằng(CQA003)
EC312,Kinh tế lượng,KINHTELUONG.1_LT,2,3-5,B501,3,Dương Thị Hương(CTM011)
EC312,Kinh tế lượng,KINHTELUONG.2_LT,2,6-8,B501,3,Nguyễn Thị Nhung(CTM005)
EC312,Kinh tế lượng,KINHTELUONG.2.1_BT,3,6-9,A702,3,Nguyễn Thị Nhung(CTM005)
EC312,Kinh tế lượng,KINHTELUONG.2.2_BT,4,2-5,A702,3,Hoàng Ngọc Tùng(CTM010)
EC312,Kinh tế lượng,KINHTELUONG.1.1_BT,6,2-5,A702,3,Dương Thị Hương(CTM011)
EC312,Kinh tế lượng,KINHTELUONG.1.2_BT,7,2-5,A702,3,Trần Minh Nguyệt(CTM012)
EC205,Kinh tế vĩ mô,MACRO.1,3,3-5,B301,3,Trần Thị Thùy Linh(CQE001)
EC205,Kinh tế vĩ mô,MACRO.1,4,4-5,B503,3,Trần Thị Thùy Linh(CQE001)
FN499,KLTN chuyên ngành Tài chính,KLTNTAICHINH.1,1,1-2,BOMON,6,Bộ môn Kinh tế(CQ)
BK499,KLTN chuyên ngành Ngân hàng,KLTNNGANHANG.1,1,1-2,BOMON,6,Bộ môn Kinh tế(CQ)
BA499,KLTN chuyên ngành Quản trị doanh nghiệp,KLTNQTRIDN.1,1,1-2,BOMON,6,Bộ môn Kinh tế(CQ)
TR499,KLTN chuyên ngành Quản trị du lịch,KLTNQTKHACHSANNH.1,1,6-9,BOMON,6,
MK499,KLTN chuyên ngành Quản trị marketing,KLTNQTRIMARKETING.1,1,1-2,BOMON,6,Bộ môn Kinh tế(CQ)
SB203,Kỹ năng đàm phán trong kinh doanh,KYNANGDAMPHANKD.1,3,8-10,B310,2,Nguyễn Duy Thành(CQM015)
SB203,Kỹ năng đàm phán trong kinh doanh,KYNANGDAMPHANKD.2,5,6-8,B501,2,Nguyễn Duy Thành(CQM015)
SC201,Kỹ năng giao tiếp và thuyết trình,KYNANGTTRINH.1,2,6-8,A603,2,Trương Đức Thao(CQL002)
