AC499,KLTN ngành Kế toán,KLTNKETOAN.1,1,1-1,BOMON,6,Bộ môn Kinh tế(CQ)
FN331,Thị trường chứng khoán,THITRUONGCK.1,7,6-10,Afinance,3,Ngô Khánh Huyền(CQB002)
MA235,Thống kê du lịch,TKEDULICH.1_LT,2,6-7,B403,2,Nguyễn Quốc Tuấn(CTM024)
MA235,Thống kê du lịch,TKEDULICH.1.1_BT,4,1-3,A704,2,Nguyễn Quốc Tuấn(CTM024)
MA235,Thống kê du lịch,TKEDULICH.2_LT,4,9-10,B410,2,Nguyễn Quốc Tuấn(CTM024)
MA235,Thống kê du lịch,TKEDULICH.2.2_BT,5,3-5,A702,2,Nguyễn Quốc Tuấn(CTM024)
MA235,Thống kê du lịch,TKEDULICH.1.2_BT,5,8-10,A702,2,Nguyễn Quốc Tuấn(CTM024)
NR416B,Thực hành chăm sóc SK người cao tuổi và BN hấp hối,THSKHOENCAOTUOI.1 (TC),7,6-9,BENHVIEN,1,Nguyễn Khánh Huyền(CSN030)
NR416B,Thực hành chăm sóc SK người cao tuổi và BN hấp hối,THSKHOENCAOTUOI.2 (TC),7,6-9,BENHVIEN,1,Nguyễn Khánh Huyền(CSN030)
NR416B,Thực hành chăm sóc SK người cao tuổi và BN hấp hối,THSKHOENCAOTUOI.3 (TC),7,6-9,BENHVIEN,1,Nguyễn Khánh Huyền(CSN030)
TR482,Thực tập chuyên ngành khách sạn - nhà hàng,TTCNKHACHSANNH.1,1,1-5,BOMON,4,
TR481,Thực tập chuyên ngành lữ hành - hướng dẫn,TTCNLUHANHHD.1,1,1-5,BOMON,4,
TT499,Thực tập tốt nghiệp,TTTOTNGHIEP.1,1,1-2,BOMON,3,Bộ môn Kinh tế(CQ)
FN224,Thuế,THUE.1,6,6-10,A407,3,Nguyễn Thị Thu Trang(CQB024)
FN224,Thuế,THUE.2,7,1-5,A407,3,Nguyễn Thị Thu Trang(CQB024)
BA326,Thương mại quốc tế,TMQUOCTE.1,4,6-10,B312,3,Nguyễn Thị Vân Nga(CQL003)
BA326,Thương mại quốc tế,TMQUOCTE.2,6,1-5,A607,3,Nguyễn Thị Vân Nga(CQL003)
GE201,Tiếng Anh sơ trung cấp 1,ANHSTC1.1(TAICHUC),2,10-12,B204,2,Trần Thị Thanh Hương(CNE033)
GE201,Tiếng Anh sơ trung cấp 1,ANHSTC1.1(TAICHUC),4,10-12,B204,2,Tô Hoài An(CNE021)
GE205,Tiếng Anh sơ trung cấp 3,ANHSTC3.2,2,1-2,B512,2,Ngô Cẩm Tú(CNE045)
GE205,Tiếng Anh sơ trung cấp 3,ANHSTC3.2,4,1-2,B408,2,Trần Thị Mai Phương(CNE051)
GE205,Tiếng Anh sơ trung cấp 3,ANHSTC3.2,6,1-2,B510,2,Ngô Cẩm Tú(CNE045)
GE301,Tiếng Anh trung cấp 1,ANHTC1.5,2,3-5,B601,2,Vũ Phương Hạnh(CNE057)
GE301,Tiếng Anh trung cấp 1,ANHTC1.4,3,6-7,A405,2,Trần Thị Mai Phương(CNE051)
GE301,Tiếng Anh trung cấp 1,ANHTC1.5,4,3-5,B601,2,Ngô Thị Minh Trang(CNE047)
GE301,Tiếng Anh trung cấp 1,ANHTC1.4,5,6-7,A405,2,Hoàng Mai Phương(CNE053)
GE301,Tiếng Anh trung cấp 1,ANHTC1.4,7,6-7,A605,2,Lê Thị Tuyền(CNE019)
GE303,Tiếng Anh trung cấp 2,ANHTC2.1,3,1-2,A505,2,Trần Thị Hải Bình(CNE004)
GE303,Tiếng Anh trung cấp 2,ANHTC2.4,3,3-5,B606,2,Phạm Hồng Vân(CNE013)
GE303,Tiếng Anh trung cấp 2,ANHTC2.5,3,6-8,B510,2,Lê Thị Hòa(CNE009)
GE303,Tiếng Anh trung cấp 2,ANHTC2.1,5,1-2,A505,2,Phạm Thái Sơn(CNE014)
GE303,Tiếng Anh trung cấp 2,ANHTC2.4,5,3-5,A605,2,Nguyễn Vân Khánh(CNE018)
GE303,Tiếng Anh trung cấp 2,ANHTC2.5,5,6-8,B602,2,Chu Thị Hương Giang(CNE059)
GE303,Tiếng Anh trung cấp 2,ANHTC2.1,7,1-2,A505,2,Lê Thị Hoài Thương(CNE027)
GE305,Tiếng Anh trung cấp 3,ANHTC3.1,2,1-2,B604,2,Tô Hoài An(CNE021)
GE305,Tiếng Anh trung cấp 3,ANHTC3.2,2,4-5,B410,2,Hoàng Thị Thu Dung(CNE007)
GE305,Tiếng Anh trung cấp 3,ANHTC3.4,3,1-2,B410,2,Mai Xuân Thể(CNE055)
GE305,Tiếng Anh trung cấp 3,ANHTC3.5,3,4-5,B508,2,Dương Thị Thu(CNE058)
GE305,Tiếng Anh trung cấp 3,ANHTC3.10,3,6-7,B606,2,Hoàng Kim Thúy(CNE012)
GE305,Tiếng Anh trung cấp 3,ANHTC3.1,4,1-2,B410,2,Ngô Thị Minh Trang(CNE047)
GE305,Tiếng Anh trung cấp 3,ANHTC3.7,4,3-5,B610,2,Nguyễn Ngọc Anh(CNE054)
GE305,Tiếng Anh trung cấp 3,ANHTC3.2,4,4-5,B602,2,Trần Thị Thanh Hương(CNE033)
GE305,Tiếng Anh trung cấp 3,ANHTC3.8,4,6-8,B406,2,Nguyễn Thị Kim Phương(CNE041)
GE305,Tiếng Anh trung cấp 3,ANHTC3.9,4,8-10,A505,2,Nguyễn Thị Bích Trâm(CNE061)
GE305,Tiếng Anh trung cấp 3,ANHTC3.4,5,1-2,B408,2,Nguyễn Thị Kiều Dung(CNE006)
GE305,Tiếng Anh trung cấp 3,ANHTC3.5,5,4-5,B508,2,Nguyễn Thị Kiều Dung(CNE006)
GE305,Tiếng Anh trung cấp 3,ANHTC3.10,5,6-7,B604,2,Mai Lan(CNE028)
GE305,Tiếng Anh trung cấp 3,ANHTC3.1,6,1-2,B512,2,Trần Thị Phương Thu(CNE001)
GE305,Tiếng Anh trung cấp 3,ANHTC3.7,6,3-5,B601,2,Phí Thị Thu Trang(CNE017)
GE305,Tiếng Anh trung cấp 3,ANHTC3.2,6,4-5,B512,2,Trần Thị Phượng(CNE022)
GE305,Tiếng Anh trung cấp 3,ANHTC3.8,6,6-8,B605,2,Đặng Thị Kim Chung(CNE005)
GE305,Tiếng Anh trung cấp 3,ANHTC3.9,6,8-10,A405,2,Đỗ Thị Hồng Hà(CNE015)
GE305,Tiếng Anh trung cấp 3,ANHTC3.4,7,1-2,A605,2,Trần Thị Hải Bình(CNE004)
GE305,Tiếng Anh trung cấp 3,ANHTC3.5,7,4-5,A605,2,Vũ Mỹ Hạnh(CNE060)
GE305,Tiếng Anh trung cấp 3,ANHTC3.10,7,6-7,B512,2,Lê Thị Phượng(CNE035)
GK101,Tiếng Hàn 1,TIENGHAN1.1,2,6-7,B106,2,Nguyễn Thị Tô Vân(CNK012)
GK101,Tiếng Hàn 1,TIENGHAN1.1,4,6-7,B412,2,Nguyễn Thị Tô Vân(CNK012)
GK101,Tiếng Hàn 1,TIENGHAN1.1,5,6-7,B208,2,Nguyễn Thị Tô Vân(CNK012)
GK102,Tiếng Hàn 2,TIENGHAN2.1,2,8-9,,2,
GK102,Tiếng Hàn 2,TIENGHAN2.1,4,8-9,,2,
GK102,Tiếng Hàn 2,TIENGHAN2.1,5,8-9,,2,
GJ101,Tiếng Nhật 1,NHAT1.1,4,3-5,B412,2,Vũ Thị Thu Hương(CNJ025)
GJ101,Tiếng Nhật 1,NHAT1.1,6,3-5,B603,2,Vũ Thị Thu Hương(CNJ025)
GJ102,Tiếng Nhật 2,NHAT2.1,3,3-5,,2,
GJ102,Tiếng Nhật 2,NHAT2.1,5,3-5,,2,
GF101,Tiếng Pháp 1,PHAP1.2,3,3-5,B108,2,Võ Thị Hải Đường(CNF004)
GF101,Tiếng Pháp 1,PHAP1.2,5,3-5,B302,2,Võ Thị Hải Đường(CNF004)
GF102,Tiếng Pháp 2,PHAP2.1,2,3-5,B104,2,Nguyễn Thị Thu Hà(CNF003)
GF102,Tiếng Pháp 2,PHAP2.2,3,3-5,B104,2,Phan Thị Liên Châu(CNF001)
GF102,Tiếng Pháp 2,PHAP2.1,4,3-5,B206,2,Phan Thị Liên Châu(CNF001)
GF102,Tiếng Pháp 2,PHAP2.2,5,3-5,B304,2,Phan Thị Liên Châu(CNF001)
GZ102,Tiếng Trung 2,TRUNG2.1,3,3-5,B304,2,Lý Hoàng Anh(CNZ001)
GZ102,Tiếng Trung 2,TRUNG2.1,5,3-5,B412,2,Lý Hoàng Anh(CNZ001)
AC317,Tổ chức hạch toán kế toán,HACHTOANKETOAN.1,5,1-5,A406,3,Đoàn Thị Hồng Nhung(CQA001)
MA241,Toán tài chính,TOANTAICHINH.1_LT,2,9-10,B406,2,Nguyễn Hồng Châu(CTM004)
MA241,Toán tài chính,TOANTAICHINH.1.1_BT,5,8-10,B506,2,Nguyễn Hồng Châu(CTM004)
MK426,Truyền thông marketing tích hợp,TTMARKETING.1,2,6-10,A406,3,Phạm Long Châu(CQM006)
MK426,Truyền thông marketing tích hợp,TTMARKETING.2,3,6-10,A403,3,Phạm Long Châu(CQM006)
ML202,Tư tưởng Hồ Chí Minh,TUTUONGHCM.1,3,8-10,,2,
TR261,"Tuyên truyền, quảng cáo và xúc tiến du lịch",TTQC&XUCTIENDL.1,2,1-5,A607,3,Trịnh Xuân Dũng(CDL001)
IM203,Ứng dụng Excel,UNGDUNGEXCEL.1,4,6-10,A709,3,Hà Thu Giang(CTI006)
IM203,Ứng dụng Excel,UNGDUNGEXCEL.2,5,6-10,A707,3,Hà Thu Giang(CTI006)
IM203,Ứng dụng Excel,UNGDUNGEXCEL.3,6,1-5,A707,3,Đoàn Ngọc Đạt(PDC002)
IM203,Ứng dụng Excel,UNGDUNGEXCEL.4,6,6-10,A707,3,Đoàn Ngọc Đạt(PDC002)
AD215,Ứng dụng PowerPoint,UNGDUNGPOWERPOINT.1,4,1-5,A703,3,Phạm Thị Kim Hoa(CTI003)
AD215,Ứng dụng PowerPoint,UNGDUNGPOWERPOINT.2,5,6-10,A709,3,Khuất Hoàng Huệ Anh(MTI021)
BA315,Văn hóa doanh nghiệp và đạo đức kinh doanh,VHOADN&DDUCKD.1,2,1-5,B403,3,Lê Huyền Trang(CQM011)
MA231,Xác suất thống kê ứng dụng,XSTKEUDUNG.2_LT,2,4-5,A406,4,Trần Minh Nguyệt(CTM012)
MA231,Xác suất thống kê ứng dụng,XSTKEUDUNG.1.1_BT,2,6-8,A702,4,Trần Minh Nguyệt(CTM012)
MA231,Xác suất thống kê ứng dụng,XSTKEUDUNG.1.2_BT,2,6-8,A704,4,Nhâm Ngọc Tần(CTM013)
MA231,Xác suất thống kê ứng dụng,XSTKEUDUNG.2_LT,3,3-5,B403,4,Trần Minh Nguyệt(CTM012)
MA231,Xác suất thống kê ứng dụng,XSTKEUDUNG.1_LT,3,6-7,B501,4,Đỗ Thị Thuý Hằng(CTM009)
MA231,Xác suất thống kê ứng dụng,XSTKEUDUNG.2.1_BT,4,6-8,A702,4,Nhâm Ngọc Tần(CTM013)
MA231,Xác suất thống kê ứng dụng,XSTKEUDUNG.2.2_BT,6,1-3,A704,4,Nguyễn Lâm Tùng(CTM008)
MA231,Xác suất thống kê ứng dụng,XSTKEUDUNG.1_LT,6,6-8,B503,4,Đỗ Thị Thuý Hằng(CTM009)
